ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Katherine P. Walsh	candidate|Marcela Mitaynes	candidate|Genesis E. Aquino	candidate|Felix W. Ortiz	candidate|Write-In	absentee|Felix W. Ortiz	absentee|Genesis E. Aquino	absentee|Katherine P. Walsh	absentee|Marcela Mitaynes	absentee|Write-In	totalAbsentee
51-001	686	142	120	99.00%	19	54	6	41	0	18	10	22	72	0	122
51-002	616	78	63	99.00%	7	13	14	28	1	19	9	11	13	0	52
51-003	590	133	110	99.00%	20	44	10	35	1	20	4	10	41	0	75
51-004	626	69	75	99.00%	11	21	8	35	0	15	3	2	16	0	36
51-005	571	57	53	99.00%	6	20	1	26	0	11	3	8	10	0	32
51-006	572	62	72	99.00%	14	23	7	28	0	6	4	11	11	0	32
51-007	683	212	122	99.00%	38	40	6	37	1	42	11	43	56	0	152
51-008	269	93	31	99.00%	9	13	0	9	0	10	4	22	41	0	77
51-009	236	28	26	99.00%	0	5	7	14	0	8	0	6	4	0	18
51-010	125	12	15	99.00%	3	6	0	6	0	0	1	0	5	0	6
51-011	637	175	130	99.00%	39	59	4	28	0	22	9	47	58	0	136
51-012	667	197	101	99.00%	31	41	2	27	0	26	14	40	57	0	137
51-013	471	159	97	99.00%	23	46	3	25	0	27	10	28	52	0	117
51-014	505	47	69	99.00%	9	14	2	42	2	5	1	10	7	1	24
51-015	486	40	54	99.00%	10	8	3	30	3	9	1	3	3	0	16
51-016	536	28	44	99.00%	8	6	3	26	1	6	0	6	1	0	13
51-017	416	66	57	99.00%	10	32	1	14	0	16	1	5	23	0	45
51-018	21	2	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-019	85	4	13	99.00%	0	7	2	5	0	1	0	0	2	0	3
51-020	597	192	104	99.00%	33	43	10	18	0	34	14	44	50	0	142
51-021	105	41	19	99.00%	7	5	0	7	0	4	3	9	17	0	33
51-022	138	44	13	99.00%	4	4	3	2	0	3	3	11	19	0	36
51-023	621	158	97	99.00%	21	37	9	28	2	28	9	28	41	0	106
51-024	278	45	64	99.00%	17	11	4	32	0	9	0	7	2	0	18
51-025	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-026	284	46	83	99.00%	18	10	3	52	0	12	1	4	4	0	21
51-027	195	25	21	99.00%	4	8	0	8	1	7	2	1	10	0	20
51-028	118	18	6	99.00%	2	2	1	1	0	3	0	1	11	0	15
51-029	662	77	106	99.00%	13	33	8	51	1	15	2	12	10	0	39
51-030	388	48	38	99.00%	13	5	5	15	0	9	3	12	8	0	32
51-031	580	85	96	99.00%	31	27	8	30	0	12	1	28	8	0	49
51-032	533	66	83	99.00%	20	16	8	38	1	8	11	17	7	0	43
51-033	748	79	102	99.00%	23	23	20	36	0	17	5	11	19	0	52
51-034	568	38	64	99.00%	3	11	19	31	0	5	2	2	11	0	20
51-035	728	103	117	99.00%	13	23	11	70	0	23	3	18	38	0	82
51-036	727	99	108	99.00%	24	41	6	37	0	12	8	25	19	0	64
51-037	725	71	127	99.00%	8	59	13	46	1	6	5	11	20	1	43
51-038	765	168	136	99.00%	34	49	8	45	0	14	15	21	57	0	107
51-039	548	86	130	99.00%	28	49	15	38	0	7	2	10	21	0	40
51-040	734	190	166	99.00%	27	86	8	45	0	25	13	48	51	0	137
51-041	775	166	129	99.00%	39	50	16	24	0	21	9	36	57	0	123
51-042	730	232	115	99.00%	34	49	6	26	0	21	13	69	76	0	179
51-043	379	93	52	99.00%	17	14	5	16	0	11	11	20	39	0	81
51-044	227	68	28	99.00%	7	9	5	7	0	6	5	16	19	0	46
51-045	19	5	5	99.00%	0	3	1	1	0	1	0	0	1	0	2
51-046	29	10	2	99.00%	0	1	0	1	0	0	2	1	6	0	9
51-047	378	56	39	99.00%	11	2	13	13	0	7	4	8	7	0	26
51-048	25	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-049	585	158	157	99.00%	63	48	14	31	1	14	9	48	39	0	110
51-050	371	36	45	99.00%	5	13	5	22	0	4	2	4	9	0	19
51-051	679	51	127	99.00%	14	27	9	77	0	6	3	5	8	0	22
51-052	445	43	59	99.00%	5	21	5	28	0	8	3	6	13	0	30
51-053	358	72	45	99.00%	11	14	2	18	0	6	5	14	28	0	53
51-054	561	68	90	99.00%	20	19	7	43	1	15	1	6	7	0	29
51-055	624	147	116	99.00%	23	60	11	22	0	15	7	30	60	0	112
51-056	31	2	1	99.00%	0	0	0	1	0	0	0	0	1	0	1
51-057	56	4	1	99.00%	1	0	0	0	0	0	1	1	1	0	3
51-058	217	24	21	99.00%	4	6	1	10	0	4	2	4	4	0	14
51-059	352	83	38	99.00%	4	17	3	14	0	21	6	17	16	0	60
51-060	581	70	77	99.00%	17	21	14	25	0	12	2	8	8	0	30
51-061	517	66	80	99.00%	16	33	10	21	0	7	3	3	18	0	31
51-062	415	105	78	99.00%	25	26	8	19	0	20	3	27	11	0	61
51-063	621	60	103	99.00%	20	20	11	52	0	15	4	13	7	0	39
51-064	620	47	91	99.00%	16	22	25	28	0	7	3	8	8	0	26
51-065	700	59	106	99.00%	14	29	18	45	0	15	6	5	10	0	36
51-066	551	65	62	99.00%	5	19	7	31	0	16	2	8	11	0	37
51-067	653	78	90	99.00%	15	10	7	58	0	13	4	7	8	0	32
51-068	155	39	30	99.00%	11	11	3	5	0	2	0	9	9	0	20
51-069	598	62	111	99.00%	7	12	12	80	0	5	0	3	13	0	21
51-070	707	45	115	99.00%	10	12	17	76	0	18	1	2	3	0	24
51-071	760	59	130	99.00%	14	16	10	90	0	11	2	3	4	0	20
51-072	690	136	143	99.00%	32	57	14	40	0	16	4	23	36	0	79
51-073	752	90	144	99.00%	48	33	7	56	0	14	0	22	14	0	50
51-074	639	34	80	99.00%	9	8	6	57	0	7	1	1	4	0	13
51-075	498	45	66	99.00%	19	16	9	22	0	3	5	7	9	0	24
51-076	347	90	56	99.00%	15	19	3	19	0	21	6	30	14	0	71
51-077	481	96	77	99.00%	20	25	7	25	0	17	2	21	14	0	54
51-078	413	38	59	99.00%	8	17	4	28	2	6	1	5	8	0	20
51-079	706	119	89	99.00%	10	33	5	41	0	18	9	12	37	0	76
51-080	219	27	32	99.00%	3	14	3	12	0	4	2	4	4	0	14
51-081	504	74	65	99.00%	10	22	7	26	0	10	6	8	34	0	58
51-082	653	137	128	99.00%	28	51	15	33	1	7	9	25	52	0	93
51-083	617	180	119	99.00%	35	43	11	30	0	22	14	39	53	0	128
51-084	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-085	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-086	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
51-087	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0
